BCE_validation,BCE_training,BCE_2_validation,BCE_2_training,BCE_3_validation,BCE_3_training
0.834613918,0.849530752,0.620417474,0.628739476,0.552582106,0.556825499
0.834729886,0.848627588,0.620360148,0.628397652,0.552044482,0.556053945
0.83466869,0.849168883,0.620284813,0.627986634,0.551702436,0.55651908
0.834597075,0.849090921,0.620051513,0.628065121,0.551226185,0.555550134
0.833987525,0.848743098,0.61993514,0.628760603,0.5510352,0.556062542
0.834036359,0.851445782,0.619989916,0.628727161,0.550595031,0.554649683
0.834144348,0.848270116,0.619806622,0.627955047,0.550327721,0.55493816
0.833417003,0.851136498,0.61976399,0.628266685,0.549950935,0.555494628
0.833354811,0.848889347,0.61969512,0.627995773,0.549608605,0.554680299
0.833070401,0.849721287,0.619515183,0.628116935,0.549292624,0.554889842
0.83302819,0.849671918,0.619415358,0.627659409,0.549154827,0.554438978
0.833239745,0.849165254,0.619329372,0.628414654,0.548855681,0.554468173
0.832885946,0.850316511,0.619171425,0.62776795,0.548586083,0.553970076
0.832677546,0.848723473,0.619228248,0.627463228,0.548284361,0.553440865
0.832354298,0.850276792,0.619104154,0.627841507,0.548183981,0.553605148
0.832381107,0.849173255,0.619262224,0.629397375,0.548152851,0.553293428
0.832813453,0.848180958,0.618979161,0.627906703,0.547834368,0.553111244
0.832198771,0.851063072,0.618901926,0.627515919,0.547645302,0.553766414
0.832182454,0.849030849,0.618678046,0.627716082,0.547359884,0.553231237
0.831885916,0.846780429,0.618761805,0.627611976,0.547174788,0.552663537
0.831828546,0.85070294,0.618580404,0.627361093,0.546959617,0.552841186
0.831511826,0.849662946,0.618297399,0.627478854,0.546740255,0.552610476
0.831460788,0.850460125,0.618353193,0.627351352,0.546669828,0.552684315
0.831447489,0.850698482,0.618441096,0.627617995,0.546513626,0.552549818
0.831163976,0.852349086,0.618250633,0.627797654,0.546418458,0.552849054
0.830777651,0.849297257,0.6183164,0.626633516,0.54631541,0.553155039
0.830993057,0.850802587,0.618015191,0.627318308,0.546205055,0.552071983
0.830928467,0.847343212,0.617898034,0.627058895,0.545927526,0.552221117
0.830739292,0.848001445,0.617890916,0.626465041,0.545990299,0.552391475
